id	source_xpath	source_line	source_value	status	FHIR_targets	rule
amb-map-0001	/cda:ClinicalDocument[1]/cda:realmCode[1]/@code	7	RU	technical		CDA conformance metadata; not a FHIR meta.profile
amb-map-0002	/cda:ClinicalDocument[1]/cda:typeId[1]/@root	9	2.16.840.1.113883.1.3	technical		CDA conformance metadata; not a FHIR meta.profile
amb-map-0003	/cda:ClinicalDocument[1]/cda:typeId[1]/@extension	9	POCD_MT000040	technical		CDA conformance metadata; not a FHIR meta.profile
amb-map-0004	/cda:ClinicalDocument[1]/cda:templateId[1]/@root	11	1.2.643.5.1.13.13.15.13.5	technical		CDA conformance metadata; not a FHIR meta.profile
amb-map-0005	/cda:ClinicalDocument[1]/cda:id[1]/@root	13	1.2.643.5.1.13.13.12.2.77.7831.100.1.1.51	mapped	Bundle#/identifier/system	OID namespace -> URI
amb-map-0006	/cda:ClinicalDocument[1]/cda:id[1]/@extension	13	144632	mapped	Bundle#/identifier/value	copy
amb-map-0007	/cda:ClinicalDocument[1]/cda:code[1]/@code	15	227	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/0/code	copy
amb-map-0008	/cda:ClinicalDocument[1]/cda:code[1]/@codeSystem	15	1.2.643.5.1.13.13.11.1520	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/0/system	OID -> canonical RuCore URI or urn:oid
amb-map-0009	/cda:ClinicalDocument[1]/cda:code[1]/@codeSystemName	15	Электронные медицинские документы	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0010	/cda:ClinicalDocument[1]/cda:code[1]/@displayName	15	Протокол консультации (CDA) Редакция 5	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/0/display	copy
amb-map-0011	/cda:ClinicalDocument[1]/cda:code[1]/@codeSystemVersion	15	12.34	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/0/version	copy
amb-map-0012	/cda:ClinicalDocument[1]/cda:code[1]/cda:translation[1]/@code	17	13	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/1/code	copy
amb-map-0013	/cda:ClinicalDocument[1]/cda:code[1]/cda:translation[1]/@codeSystem	17	1.2.643.5.1.13.13.99.2.1079	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/1/system	OID -> canonical RuCore URI or urn:oid
amb-map-0014	/cda:ClinicalDocument[1]/cda:code[1]/cda:translation[1]/@codeSystemName	17	Виды структурированных электронных медицинских документов	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0015	/cda:ClinicalDocument[1]/cda:code[1]/cda:translation[1]/@displayName	17	Протокол консультации	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/1/display	copy
amb-map-0016	/cda:ClinicalDocument[1]/cda:code[1]/cda:translation[1]/@codeSystemVersion	17	1.17	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/type/coding/1/version	copy
amb-map-0017	/cda:ClinicalDocument[1]/cda:title[1]/text()	20	Протокол консультации	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/title	copy
amb-map-0018	/cda:ClinicalDocument[1]/cda:effectiveTime[1]/@nullFlavor	22	NA	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/_date/extension	NullFlavor on primitive
amb-map-0019	/cda:ClinicalDocument[1]/cda:confidentialityCode[1]/@code	24	N	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/meta/security/0/code	copy
amb-map-0020	/cda:ClinicalDocument[1]/cda:confidentialityCode[1]/@codeSystem	24	1.2.643.5.1.13.13.99.2.285	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/meta/security/0/system	OID -> canonical RuCore URI or urn:oid
amb-map-0021	/cda:ClinicalDocument[1]/cda:confidentialityCode[1]/@codeSystemName	24	Уровень конфиденциальности медицинского документа	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0022	/cda:ClinicalDocument[1]/cda:confidentialityCode[1]/@displayName	24	Обычный	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/meta/security/0/display	copy
amb-map-0023	/cda:ClinicalDocument[1]/cda:confidentialityCode[1]/@codeSystemVersion	24	1.2	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/meta/security/0/version	copy
amb-map-0024	/cda:ClinicalDocument[1]/cda:languageCode[1]/@code	26	ru-RU	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/language	copy
amb-map-0025	/cda:ClinicalDocument[1]/cda:setId[1]/@root	28	1.2.643.5.1.13.13.12.2.77.7831.100.1.1.50	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/identifier/0/system	OID namespace -> URI
amb-map-0026	/cda:ClinicalDocument[1]/cda:setId[1]/@extension	28	163725	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/identifier/0/value	copy
amb-map-0027	/cda:ClinicalDocument[1]/cda:versionNumber[1]/@value	30	1	mapped	Composition/202d52a8-af92-5ef3-9a7e-d83305a85264#/version	copy
amb-map-0028	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:id[1]/@root	36	1.2.643.5.1.13.13.12.2.77.7831.100.1.1.10	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/0/system	OID namespace -> URI
amb-map-0029	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:id[1]/@extension	36	735486	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/0/value	copy
amb-map-0030	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:id[2]/@root	38	1.2.643.100.3	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/1/system	OID namespace -> URI
amb-map-0031	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:id[2]/@extension	38	25463625426	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/1/value	copy
amb-map-0032	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IdentityCardType[1]/@code	42	1	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/0/code; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/1/code	retain original NSI coding alongside canonical RuCore coding
amb-map-0033	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IdentityCardType[1]/@codeSystem	42	1.2.643.5.1.13.13.99.2.48	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/0/system; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/1/system	retain original NSI coding alongside canonical RuCore coding
amb-map-0034	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IdentityCardType[1]/@codeSystemName	42	Документы, удостоверяющие личность	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0035	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IdentityCardType[1]/@displayName	42	Паспорт гражданина Российской Федерации	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/0/display; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/1/display	retain original NSI coding alongside canonical RuCore coding
amb-map-0036	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IdentityCardType[1]/@codeSystemVersion	42	7.2	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/type/coding/1/version	NSI edition belongs to source OID coding
amb-map-0037	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:Series[1]/text()	44	4509	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/value	series + space + number
amb-map-0038	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:Number[1]/text()	46	395643	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/value	series + space + number
amb-map-0039	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IssueOrgName[1]/text()	48	"ОВД ""Твардовское"" ОУФМС России по гор. Москве"	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/assigner/display	copy
amb-map-0040	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IssueOrgCode[1]/text()	50	770-095	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/assigner/identifier/value	copy
amb-map-0041	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:IdentityDoc[1]/identity:IssueDate[1]/@value	52	20050218	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/2/period/start	CDA TS -> FHIR temporal value (minute precision padded with :00)
amb-map-0042	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:InsurancePolicyType[1]/@code	57	1	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/type/coding/2/code	copy
